date,open,high,low,close,volume,SMA_10,SMA_20,EMA_10,EMA_20
2018-01-31,170.16,180.1,164.7,167.43,659679400,,,167.43,167.43
2018-02-28,167.17,180.62,150.24,178.12,927894300,,,169.37,168.45
2018-03-31,178.54,183.5,164.94,167.78,713727700,,,169.08,168.38
2018-04-30,166.64,178.94,160.63,165.26,666154300,,,168.39,168.09
2018-05-31,166.41,190.37,165.27,186.87,620976300,,,171.75,169.88
2018-06-30,187.99,194.2,180.73,185.11,527624500,,,174.18,171.33
2018-07-31,183.82,195.96,183.42,190.29,393691400,,,177.11,173.13
2018-08-31,199.13,228.87,197.31,227.63,700318900,,,186.29,178.32
2018-09-30,228.41,229.67,215.3,225.74,678972000,,,193.47,182.84
2018-10-31,227.95,233.47,206.09,218.86,789748500,191.31,,198.08,186.27
2018-11-30,219.05,222.36,170.26,178.58,961326400,192.42,,194.54,185.54
2018-12-31,184.46,184.94,146.59,157.74,898922500,190.39,,187.85,182.89
2019-01-31,154.89,169.0,142.0,166.44,828087400,190.25,,183.95,181.32
2019-02-28,166.96,175.87,165.93,173.15,472540600,191.04,,181.99,180.54
2019-03-31,174.28,197.69,169.5,189.95,650981400,191.35,,183.44,181.44
2019-04-30,191.64,208.48,188.38,200.67,506117700,192.91,,186.57,183.27
2019-05-31,209.88,215.31,174.99,175.07,739456600,191.38,,184.48,182.49
2019-06-30,175.6,201.57,170.27,197.92,515187300,188.41,,186.92,183.96
2019-07-31,203.17,221.37,198.41,213.04,473957000,187.14,,191.67,186.73
2019-08-31,213.9,218.03,192.58,208.74,681074600,186.13,188.72,194.78,188.83
2019-09-30,206.43,226.42,204.22,223.97,542567100,190.67,191.55,200.08,192.17
2019-10-31,225.07,249.75,215.13,248.76,608302700,199.77,195.08,208.93,197.56
2019-11-30,249.54,268.0,249.16,267.25,448331500,209.85,200.05,219.54,204.2
2019-12-31,267.27,293.97,256.29,293.65,597198700,221.9,206.47,233.01,212.72
