date,open,high,low,close,volume,SMA_10,SMA_20,EMA_10,EMA_20
2018-01-31,10.42,13.85,10.34,13.74,1335288900,,,13.74,13.74
2018-02-28,13.62,13.84,10.63,12.11,1103985800,,,13.44,13.58
2018-03-31,12.26,12.82,9.79,10.05,1483511900,,,12.83,13.25
2018-04-30,9.99,11.36,9.04,10.88,1163360900,,,12.47,13.02
2018-05-31,10.83,13.95,10.77,13.73,1020602700,,,12.7,13.09
2018-06-30,13.98,17.34,13.92,14.99,1632781900,,,13.12,13.27
2018-07-31,14.8,20.18,14.74,18.33,1456419400,,,14.07,13.75
2018-08-31,18.34,27.3,18.0,25.17,2201119100,,,16.08,14.84
2018-09-30,25.62,34.14,25.57,30.89,3063055900,,,18.78,16.37
2018-10-31,30.69,31.91,16.17,18.21,2655213100,16.81,,18.67,16.54
2018-11-30,18.41,22.22,17.18,21.3,2140346900,17.57,,19.15,17.0
2018-12-31,22.48,23.75,16.03,18.46,1981674300,18.2,,19.03,17.14
2019-01-31,18.01,25.14,16.94,24.41,2311913200,19.64,,20.0,17.83
2019-02-28,24.61,25.52,22.27,23.53,1301360800,20.9,,20.65,18.37
2019-03-31,23.97,28.11,21.04,25.52,1499160400,22.08,,21.53,19.05
2019-04-30,26.42,29.95,25.83,27.63,1275793800,23.34,,22.64,19.87
2019-05-31,28.95,29.67,26.03,27.41,1675142900,24.25,,23.51,20.59
2019-06-30,28.75,34.3,27.29,30.37,1578306600,24.77,,24.76,21.52
2019-07-31,31.79,34.86,30.1,30.45,1155856000,24.73,,25.79,22.37
2019-08-31,30.5,35.55,27.65,31.45,1645672800,26.05,21.43,26.82,23.23
2019-09-30,30.83,32.05,28.35,28.99,1012749700,26.82,22.19,27.21,23.78
2019-10-31,29.05,34.34,27.43,33.93,1067281800,28.37,23.28,28.44,24.75
2019-11-30,34.37,41.79,34.1,39.15,1202279900,29.84,24.74,30.38,26.12
2019-12-31,39.32,47.31,37.15,45.86,982440800,32.08,26.49,33.2,28.0
