date,open,high,low,close,volume,SMA_10,SMA_20,EMA_10,EMA_20
2018-01-31,1172.0,1472.58,1170.51,1450.89,96371200,,,1450.89,1450.89
2018-02-28,1445.0,1528.7,1265.93,1512.45,137784000,,,1462.08,1456.75
2018-03-31,1513.6,1617.54,1365.2,1447.34,130400100,,,1459.4,1455.86
2018-04-30,1417.62,1638.1,1352.88,1566.13,129919600,,,1478.81,1466.36
2018-05-31,1563.22,1635.0,1546.02,1629.62,71615500,,,1506.23,1481.91
2018-06-30,1637.03,1763.1,1635.09,1699.8,85941300,,,1541.42,1502.66
2018-07-31,1682.7,1880.05,1678.06,1777.44,97521100,,,1584.33,1528.83
2018-08-31,1784.0,2025.57,1776.02,2012.71,96575800,,,1662.22,1574.91
2018-09-30,2026.5,2050.5,1865.0,2003.0,94445500,,,1724.18,1615.68
2018-10-31,2021.99,2033.19,1476.36,1598.01,183220800,1669.74,,1701.24,1614.0
2018-11-30,1623.53,1784.0,1420.0,1690.17,139290000,1693.67,,1699.23,1621.25
2018-12-31,1769.46,1778.34,1307.0,1501.97,154812700,1692.62,,1663.36,1609.89
2019-01-31,1465.2,1736.41,1460.93,1718.73,134001700,1719.76,,1673.43,1620.26
2019-02-28,1638.88,1673.06,1566.76,1639.83,80936900,1727.13,,1667.32,1622.12
2019-03-31,1655.13,1823.75,1586.57,1780.75,100832200,1742.24,,1687.94,1637.23
2019-04-30,1800.11,1956.34,1798.73,1926.52,81293700,1764.91,,1731.32,1664.78
2019-05-31,1933.09,1964.4,1772.7,1775.07,98214400,1764.68,,1739.28,1675.29
2019-06-30,1760.01,1935.2,1672.0,1893.63,74742700,1752.77,,1767.34,1696.08
2019-07-31,1922.98,2035.8,1849.44,1866.78,73177400,1739.15,,1785.42,1712.34
2019-08-31,1871.72,1897.92,1743.51,1776.29,79771200,1756.97,1713.36,1783.76,1718.43
2019-09-30,1770.0,1853.66,1709.22,1735.91,61172900,1761.55,1727.61,1775.06,1720.09
2019-10-31,1746.0,1798.85,1685.06,1776.66,70360500,1789.02,1740.82,1775.35,1725.48
2019-11-30,1788.01,1824.69,1722.71,1800.8,52076200,1797.22,1758.49,1779.98,1732.65
2019-12-31,1804.4,1901.4,1735.0,1847.84,68149600,1818.03,1772.58,1792.32,1743.62
