date,open,high,low,close,volume,SMA_10,SMA_20,EMA_10,EMA_20
2018-01-31,259.77,274.26,237.01,248.03,75283500,,,248.03,248.03
2018-02-28,241.72,255.74,224.9,246.46,72949100,,,247.74,247.88
2018-03-31,245.86,273.85,234.76,235.65,102905400,,,245.55,246.72
2018-04-30,233.95,252.85,225.44,229.42,75476200,,,242.61,245.07
2018-05-31,230.85,255.29,221.98,252.07,71235200,,,244.33,245.74
2018-06-30,254.37,271.81,242.27,242.64,76083900,,,244.03,245.44
2018-07-31,240.09,251.8,197.46,221.77,173962600,,,239.98,243.19
2018-08-31,223.26,223.94,202.77,219.03,70854300,,,236.17,240.89
2018-09-30,218.59,250.1,213.92,246.73,96345200,,,238.09,241.44
2018-10-31,247.88,252.14,208.23,223.49,74094000,236.53,,235.44,239.73
2018-11-30,225.16,242.62,213.71,237.41,64531200,235.47,,235.79,239.51
2018-12-31,245.2,261.59,217.61,254.28,97816200,236.25,,239.16,240.92
2019-01-31,248.85,273.75,230.33,268.25,74938100,239.51,,244.45,243.52
2019-02-28,269.15,286.63,264.89,275.36,41509200,244.1,,250.07,246.55
2019-03-31,277.73,303.3,259.2,300.71,72692400,248.97,,259.27,251.71
2019-04-30,303.11,322.45,299.75,318.4,40854800,256.54,,270.02,258.06
2019-05-31,320.5,323.2,250.09,251.64,64214500,259.53,,266.68,257.45
2019-06-30,252.55,291.75,251.2,287.86,73707900,266.41,,270.53,260.35
2019-07-31,301.68,305.75,272.41,289.99,52039400,270.74,,274.07,263.17
2019-08-31,289.13,297.82,262.5,282.64,45277700,276.65,256.59,275.63,265.02
2019-09-30,280.0,302.33,270.0,276.07,51645900,280.52,257.99,275.71,266.08
2019-10-31,278.27,294.08,267.22,292.85,42165500,284.38,260.31,278.83,268.63
2019-11-30,292.99,325.67,292.09,316.21,40783600,289.17,264.34,285.62,273.16
2019-12-31,317.72,331.2,303.13,316.02,51759200,293.24,268.67,291.15,277.24
