date,open,high,low,close,volume,SMA_10,SMA_20,EMA_10,EMA_20
2018-01-31,38.67,42.98,38.43,41.54,504812100,,,41.54,41.54
2018-02-28,41.09,45.89,37.35,44.78,703752400,,,42.13,41.85
2018-03-31,44.68,46.16,41.58,42.89,597830400,,,42.27,41.95
2018-04-30,42.52,45.34,40.19,44.29,491494900,,,42.64,42.17
2018-05-31,43.91,46.37,42.52,42.71,500681500,,,42.65,42.22
2018-06-30,42.91,44.81,41.81,43.03,463650000,,,42.72,42.3
2018-07-31,42.56,43.83,40.94,42.29,450479900,,,42.64,42.3
2018-08-31,41.99,47.83,41.2,47.77,441384400,,,43.57,42.82
2018-09-30,47.84,49.06,46.44,48.65,365543500,,,44.5,43.37
2018-10-31,49.0,49.47,42.94,45.75,549746900,44.37,,44.72,43.6
2018-11-30,45.67,48.44,44.08,47.87,526861100,45.0,,45.3,44.01
2018-12-31,48.32,49.14,40.25,43.33,606735800,44.86,,44.94,43.94
2019-01-31,42.28,47.38,40.96,47.29,442759300,45.3,,45.37,44.26
2019-02-28,47.37,51.96,46.3,51.77,426421600,46.05,,46.53,44.98
2019-03-31,52.0,54.23,50.51,53.99,432755900,47.17,,47.89,45.84
2019-04-30,54.48,57.53,54.39,55.95,349640500,48.47,,49.35,46.8
2019-05-31,56.0,56.83,51.06,52.03,514801500,49.44,,49.84,47.3
2019-06-30,52.05,58.15,51.49,54.73,535897200,50.14,,50.73,48.0
2019-07-31,55.26,58.26,54.23,55.4,325942200,50.81,,51.58,48.71
2019-08-31,55.84,56.89,46.0,46.81,509693100,50.92,47.64,50.71,48.53
2019-09-30,46.63,50.3,46.2,49.41,369072000,51.07,48.04,50.47,48.61
2019-10-31,49.65,49.87,45.55,47.51,403870500,51.49,48.17,49.94,48.51
2019-11-30,46.85,48.98,44.44,45.31,437190200,51.29,48.29,49.09,48.2
2019-12-31,45.25,48.37,43.4,47.96,424411900,50.91,48.48,48.89,48.18
