date,open,high,low,close,volume,SMA_10,SMA_20,EMA_10,EMA_20
2018-01-31,86.13,95.45,85.5,95.01,574258400,,,95.01,95.01
2018-02-28,94.79,96.07,83.83,93.77,725663300,,,94.78,94.89
2018-03-31,93.99,97.24,87.08,91.27,750754800,,,94.15,94.55
2018-04-30,90.47,97.9,87.51,93.52,668130700,,,94.03,94.45
2018-05-31,93.21,99.99,92.45,98.84,509417900,,,94.91,94.87
2018-06-30,99.28,102.69,97.26,98.61,602585200,,,95.58,95.22
2018-07-31,98.1,111.15,98.0,106.08,569352300,,,97.49,96.26
2018-08-31,106.03,112.78,104.84,112.33,456628100,,,100.19,97.79
2018-09-30,110.85,115.29,107.23,114.37,480255500,,,102.77,99.37
2018-10-31,114.75,116.18,100.11,106.81,927548000,101.06,,103.5,100.08
2018-11-30,107.05,112.24,99.35,110.89,720228600,102.65,,104.84,101.11
2018-12-31,113.0,113.42,93.96,101.57,944314600,103.43,,104.25,101.15
2019-01-31,99.55,107.9,97.2,104.43,714212800,104.74,,104.28,101.46
2019-02-28,103.78,113.24,102.35,112.03,469095900,106.6,,105.69,102.47
2019-03-31,112.89,120.82,108.8,117.94,589095800,108.51,,107.92,103.94
2019-04-30,118.95,131.37,118.1,130.6,433157700,111.71,,112.04,106.48
2019-05-31,130.53,130.65,123.04,123.68,547218800,113.47,,114.16,108.12
2019-06-30,123.85,138.4,119.01,133.96,508316500,115.63,,117.76,110.58
2019-07-31,136.63,141.68,134.67,136.27,484547500,117.82,,121.12,113.03
2019-08-31,137.0,140.94,130.78,137.86,584474300,120.92,110.99,124.17,115.39
2019-09-30,136.61,142.37,134.51,139.03,472544800,123.74,113.19,126.87,117.64
2019-10-31,139.66,145.67,133.22,143.37,549523400,127.92,115.67,129.87,120.09
2019-11-30,144.26,152.5,142.97,151.38,392371800,132.61,118.68,133.78,123.07
2019-12-31,151.81,159.55,146.65,157.7,450303300,137.18,121.89,138.13,126.37
