date,open,high,low,close,volume,SMA_10,SMA_20,EMA_10,EMA_20
2018-01-31,196.1,286.81,195.42,270.3,238377600,,,270.3,270.3
2018-02-28,266.41,297.36,236.11,291.38,184585800,,,274.13,272.31
2018-03-31,292.75,333.98,275.9,295.35,263449400,,,277.99,274.5
2018-04-30,291.94,338.82,271.22,312.46,262006000,,,284.26,278.12
2018-05-31,310.36,356.1,305.73,351.6,142050800,,,296.5,285.12
2018-06-30,353.88,423.21,352.82,391.43,244031800,,,313.76,295.24
2018-07-31,385.45,419.77,328.0,337.45,305393800,,,318.07,299.26
2018-08-31,335.87,376.81,310.93,367.68,213122300,,,327.09,305.78
2018-09-30,366.47,383.2,335.83,374.13,170832100,,,335.64,312.29
2018-10-31,375.85,386.8,271.21,301.78,363589800,329.36,,329.48,311.29
2018-11-30,304.59,332.05,250.0,286.13,257126400,330.94,,321.6,308.89
2018-12-31,293.19,298.72,231.23,267.66,234310000,328.57,,311.79,304.96
2019-01-31,259.28,358.85,256.58,339.5,306616400,332.98,,316.83,308.25
2019-02-28,337.18,371.49,336.5,358.1,148192100,337.55,,324.34,313.0
2019-03-31,362.26,379.0,342.47,356.56,144843100,338.04,,330.19,317.15
2019-04-30,359.0,384.8,342.27,370.54,165079400,335.95,,337.53,322.23
2019-05-31,374.0,385.99,341.39,343.28,125298300,336.54,,338.58,324.24
2019-06-30,343.56,375.0,332.65,367.32,111052000,336.5,,343.8,328.34
2019-07-31,373.5,384.76,305.81,322.99,196671300,331.39,,340.02,327.83
2019-08-31,324.25,328.58,287.2,293.75,137076700,330.58,329.97,331.61,324.59
2019-09-30,290.82,301.55,252.28,267.62,175411300,328.73,329.84,319.97,319.16
2019-10-31,267.35,308.75,257.01,287.41,231556400,330.71,329.64,314.05,316.14
2019-11-30,288.7,316.82,281.14,314.66,113645900,328.22,330.6,314.16,316.0
2019-12-31,314.39,338.0,292.02,323.57,124723600,324.77,331.16,315.87,316.72
