date,open,high,low,close,volume,SMA_10,SMA_20,EMA_10,EMA_20
2018-01-31,119.93,122.51,116.38,120.3,88470600,,,120.3,120.3
2018-02-28,119.92,121.01,107.94,109.73,97278600,,,118.38,119.29
2018-03-31,109.21,113.9,105.94,109.15,97486500,,,116.7,118.33
2018-04-30,108.62,111.18,100.58,100.94,98237200,,,113.83,116.67
2018-05-31,100.36,102.24,95.94,100.25,127114600,,,111.36,115.11
2018-06-30,100.54,109.59,99.65,108.87,112788100,,,110.91,114.51
2018-07-31,108.7,116.9,107.52,115.0,147328900,,,111.65,114.56
2018-08-31,114.42,118.44,110.89,112.01,97858900,,,111.72,114.32
2018-09-30,111.82,115.52,110.45,111.8,75015800,,,111.73,114.08
2018-10-31,112.15,114.23,104.53,112.38,119829000,110.04,,111.85,113.92
2018-11-30,112.0,122.0,109.63,121.94,90370600,110.21,,113.69,114.68
2018-12-31,120.48,120.91,105.03,110.48,115113900,110.28,,113.1,114.28
2019-01-31,109.15,112.9,106.73,112.67,115732500,110.63,,113.02,114.13
2019-02-28,112.95,117.3,111.45,115.64,96885600,112.1,,113.5,114.27
2019-03-31,115.86,123.19,114.26,122.55,125322600,114.33,,115.15,115.06
2019-04-30,122.59,128.39,120.74,128.05,86628800,116.25,,117.49,116.3
2019-05-31,127.85,130.9,124.85,128.0,88149400,117.55,,119.4,117.41
2019-06-30,127.86,135.24,127.49,131.13,88686800,119.46,,121.53,118.72
2019-07-31,131.99,135.24,126.24,127.81,96373300,121.07,,122.68,119.58
2019-08-31,128.96,137.11,123.88,136.73,95177800,123.5,116.77,125.23,121.22
2019-09-30,136.35,139.18,134.1,137.1,78024000,125.02,117.61,127.39,122.73
2019-10-31,136.93,140.45,133.49,137.17,80469500,127.69,118.98,129.17,124.1
2019-11-30,137.55,138.34,131.59,135.83,64684200,130.0,120.32,130.38,125.22
2019-12-31,136.65,138.25,134.32,136.67,82358000,132.1,122.1,131.52,126.31
