date,open,high,low,close,volume,SMA_10,SMA_20,EMA_10,EMA_20
2018-01-31,63.9,66.52,62.44,65.1,65504500,,,65.1,65.1
2018-02-28,64.7,65.11,57.06,60.61,90428400,,,64.28,64.67
2018-03-31,60.78,65.78,59.73,61.04,79342000,,,63.69,64.33
2018-04-30,60.4,65.68,58.91,60.51,116690100,,,63.11,63.96
2018-05-31,60.77,61.19,55.09,55.7,110403700,,,61.77,63.18
2018-06-30,56.0,61.16,55.9,59.75,70990700,,,61.4,62.85
2018-07-31,59.46,62.09,57.89,60.0,52193400,,,61.15,62.58
2018-08-31,59.95,66.64,59.14,66.04,74869500,,,62.04,62.91
2018-09-30,65.74,70.88,64.07,70.18,56832800,,,63.52,63.6
2018-10-31,70.71,70.94,63.48,68.55,99668700,62.75,,64.43,64.07
2018-11-30,68.96,70.78,66.08,68.45,68522800,63.08,,65.16,64.49
2018-12-31,68.5,69.02,59.96,63.61,76362500,63.38,,64.88,64.41
2019-01-31,62.87,70.12,62.55,69.62,81661900,64.24,,65.74,64.9
2019-02-28,69.46,74.06,65.56,72.21,71356500,65.41,,66.92,65.6
2019-03-31,72.39,74.06,68.16,69.1,64555300,66.75,,67.31,65.93
2019-04-30,69.54,74.73,68.7,72.99,66687800,68.08,,68.35,66.6
2019-05-31,73.14,80.93,72.25,73.44,96013900,69.42,,69.27,67.25
2019-06-30,73.62,79.26,72.77,74.14,67705200,70.23,,70.16,67.91
2019-07-31,74.67,85.22,73.92,79.73,179758300,71.18,,71.9,69.04
2019-08-31,79.99,80.31,75.27,78.05,58871900,72.13,67.44,73.02,69.89
2019-09-30,77.9,81.15,76.77,78.77,51493800,73.17,68.12,74.06,70.74
2019-10-31,78.88,83.85,75.82,82.66,58139100,75.07,69.23,75.63,71.88
2019-11-30,83.09,83.19,76.33,78.55,57236000,75.96,70.1,76.16,72.51
2019-12-31,78.58,78.84,74.31,78.42,57775600,76.59,71.0,76.57,73.07
