date,open,high,low,close,volume,SMA_10,SMA_20,EMA_10,EMA_20
2018-01-31,312.0,360.5,305.68,354.31,124271500,,,354.31,354.31
2018-02-28,351.0,359.99,294.76,343.06,109190000,,,352.26,353.24
2018-03-31,345.01,348.67,248.21,266.13,157268500,,,336.6,344.94
2018-04-30,256.26,309.5,244.59,293.9,190310800,,,328.84,340.08
2018-05-31,293.51,312.99,273.42,284.73,155578100,,,320.82,334.81
2018-06-30,285.86,373.73,283.84,342.95,213425100,,,324.84,335.59
2018-07-31,360.07,364.78,286.13,298.14,172328200,,,319.99,332.02
2018-08-31,297.99,387.46,288.2,301.66,277360200,,,316.66,329.13
2018-09-30,296.94,314.96,252.25,264.77,196075400,,,307.22,323.0
2018-10-31,305.77,347.16,247.77,337.32,286360700,308.7,,312.69,324.36
2018-11-30,338.26,366.75,325.0,350.48,133019100,308.31,,319.56,326.85
2018-12-31,360.0,379.49,294.09,332.8,146451200,307.29,,321.97,327.42
2019-01-31,306.1,352.0,279.28,307.02,175652100,311.38,,319.25,325.47
2019-02-28,305.42,324.24,288.77,319.88,128550100,313.98,,319.37,324.94
2019-03-31,306.94,307.13,254.46,279.86,213793500,313.49,,312.18,320.65
2019-04-30,282.62,296.17,231.13,238.69,230757800,303.06,,298.82,312.84
2019-05-31,238.85,258.35,184.1,185.16,282598800,291.76,,278.16,300.68
2019-06-30,185.51,234.74,176.99,223.46,214959300,283.94,,268.21,293.33
2019-07-31,230.21,266.07,222.22,241.61,199367200,281.63,,263.37,288.4
2019-08-31,242.65,244.51,211.0,225.61,133790600,270.46,289.58,256.51,282.42
2019-09-30,224.08,253.5,218.36,240.87,135775300,259.5,283.91,253.66,278.46
2019-10-31,241.5,340.84,224.28,314.92,227982600,257.71,282.5,264.8,281.94
2019-11-30,316.32,361.2,309.26,329.94,157770800,260.0,285.69,276.65,286.51
2019-12-31,329.4,435.31,327.25,418.33,207080000,269.84,291.91,302.41,299.06
